CPU,Codename,Min_Cores,Max_Cores,Clock,Min_Clock,Min_Clock(MHz),Max_Clock,Max_Clock(MHz),Size,Socket,Process,Process(NM),TDP(Watts),Release
EPYC 7F72,Rome,24,48,3.2 to 3.7 GHz,3.2,3200,3.7,3700,GHz,Socket SP3,7 nm,7 ,240,"Apr 14th, 2020"
EPYC 7F52,Rome,16,32,3.5 to 3.9 GHz,3.5,3500,3.9,3900,GHz,Socket SP3,7 nm,7 ,155,"Apr 14th, 2020"
EPYC 7773X,Milan-X,64,128,2.2 to 3.5 GHz,2.2,2200,3.5,3500,GHz,Socket SP3,7 nm,7 ,280,"Mar 22nd, 2022"
EPYC 7763,Milan,64,128,2.45 to 3.5 GHz,2.45,2450,3.5,3500,GHz,Socket SP3,7 nm,7 ,280,"Mar 15th, 2021"
EPYC 7742,Rome,64,128,2.25 to 3.4 GHz,2.25,2250,3.4,3400,GHz,Socket SP3,7 nm,7 ,225,"Aug 7th, 2019"
EPYC 7713P,Milan,64,128,2 to 3.675 GHz,2,2000,3.675,3675,GHz,Socket SP3,7 nm,7 ,225,"Mar 15th, 2021"
EPYC 7713,Milan,64,128,2 to 3.675 GHz,2,2000,3.675,3675,GHz,Socket SP3,7 nm,7 ,225,"Mar 15th, 2021"
EPYC 7702P,Rome,64,128,2 to 3.35 GHz,2,2000,3.35,3350,GHz,Socket SP3,7 nm,7 ,200,"Aug 7th, 2019"
EPYC 7702,Rome,64,128,2 to 3.35 GHz,2,2000,3.35,3350,GHz,Socket SP3,7 nm,7 ,200,"Aug 7th, 2019"
EPYC 7663,Milan,56,112,2 to 3.5 GHz,2,2000,3.5,3500,GHz,Socket SP3,7 nm,7 ,240,"Mar 15th, 2021"
EPYC 7643,Milan,48,96,2.3 to 3.6 GHz,2.3,2300,3.6,3600,GHz,Socket SP3,7 nm,7 ,225,"Mar 15th, 2021"
EPYC 7642,Rome,48,96,2.4 to 3.4 GHz,2.4,2400,3.4,3400,GHz,Socket SP3,7 nm,7 ,225,"Aug 7th, 2019"
EPYC 7601,Naples,32,64,2.2 to 3.2 GHz,2.2,2200,3.2,3200,GHz,Socket SP3,14 nm,14 ,180,"Jun 29th, 2017"
EPYC 75F3,Milan,32,64,2.95 to 4 GHz,2.95,2950,4,4000,GHz,Socket SP3,7 nm,7 ,280,"Mar 15th, 2021"
EPYC 7573X,Milan-X,32,64,2.8 to 3.6 GHz,2.8,2800,3.6,3600,GHz,Socket SP3,7 nm,7 ,280,"Mar 22nd, 2022"
EPYC 7552,Rome,48,96,2.2 to 3.35 GHz,2.2,2200,3.35,3350,GHz,Socket SP3,7 nm,7 ,200,"Aug 7th, 2019"
EPYC 7551P,Naples,32,64,2 to 3 GHz,2,2000,3,3000,GHz,Socket SP3,14 nm,14 ,180,"Jun 29th, 2017"
EPYC 7551,Naples,32,64,2 to 3 GHz,2,2000,3,3000,GHz,Socket SP3,14 nm,14 ,180,"Jun 29th, 2017"
EPYC 7543P,Milan,32,64,2.8 to 3.7 GHz,2.8,2800,3.7,3700,GHz,Socket SP3,7 nm,7 ,225,"Mar 15th, 2021"
EPYC 7543,Milan,32,64,2.8 to 3.7 GHz,2.8,2800,3.7,3700,GHz,Socket SP3,7 nm,7 ,225,"Mar 15th, 2021"
EPYC 7542,Rome,32,64,2.9 to 3.4 GHz,2.9,2900,3.4,3400,GHz,Socket SP3,7 nm,7 ,225,"Aug 7th, 2019"
EPYC 7513,Milan,32,64,2.6 to 3.65 GHz,2.6,2600,3.65,3650,GHz,Socket SP3,7 nm,7 ,200,"Mar 15th, 2021"
EPYC 7502P,Rome,32,64,2.5 to 3.35 GHz,2.5,2500,3.35,3350,GHz,Socket SP3,7 nm,7 ,180,"Aug 7th, 2019"
EPYC 7502,Rome,32,64,2.5 to 3.35 GHz,2.5,2500,3.35,3350,GHz,Socket SP3,7 nm,7 ,180,"Aug 7th, 2019"
EPYC 7501,Naples,32,64,2 to 3 GHz,2,2000,3,3000,GHz,Socket SP3,14 nm,14 ,170,"Jun 29th, 2017"
EPYC 74F3,Milan,24,48,2.8 to 4 GHz,2.8,2800,4,4000,GHz,Socket SP3,7 nm,7 ,240,"Mar 15th, 2021"
EPYC 7473X,Milan-X,24,48,2.8 to 3.7 GHz,2.8,2800,3.7,3700,GHz,Socket SP3,7 nm,7 ,240,"Mar 22nd, 2022"
EPYC 7453,Milan,28,56,2.75 to 3.45 GHz,2.75,2750,3.45,3450,GHz,Socket SP3,7 nm,7 ,225,"Mar 15th, 2021"
EPYC 7452,Rome,32,64,2.2 to 3.35 GHz,2.2,2200,3.35,3350,GHz,Socket SP3,7 nm,7 ,155,"Aug 7th, 2019"
EPYC 7451,Naples,24,48,2.3 to 3.2 GHz,2.3,2300,3.2,3200,GHz,Socket SP3,14 nm,14 ,180,"Jun 29th, 2017"
EPYC 7443P,Milan,24,48,2.85 to 4 GHz,2.85,2850,4,4000,GHz,Socket SP3,7 nm,7 ,200,"Mar 15th, 2021"
EPYC 7443,Milan,24,48,2.85 to 4 GHz,2.85,2850,4,4000,GHz,Socket SP3,7 nm,7 ,200,"Mar 15th, 2021"
EPYC 7413,Milan,24,48,2.65 to 3.6 GHz,2.65,2650,3.6,3600,GHz,Socket SP3,7 nm,7 ,180,"Mar 15th, 2021"
EPYC 7402P,Rome,24,48,2.8 to 3.35 GHz,2.8,2800,3.35,3350,GHz,Socket SP3,7 nm,7 ,180,"Aug 7th, 2019"
EPYC 7402,Rome,24,48,2.8 to 3.35 GHz,2.8,2800,3.35,3350,GHz,Socket SP3,7 nm,7 ,180,"Aug 7th, 2019"
EPYC 7401P,Naples,24,48,2 to 3 GHz,2,2000,3,3000,GHz,Socket SP3,14 nm,14 ,170,"Jun 29th, 2017"
EPYC 7401,Naples,24,48,2 to 3 GHz,2,2000,3,3000,GHz,Socket SP3,14 nm,14 ,170,"Jun 29th, 2017"
EPYC 73F3,Milan,16,32,3.5 to 4 GHz,3.5,3500,4,4000,GHz,Socket SP3,7 nm,7 ,240,"Mar 15th, 2021"
EPYC 7373X,Milan-X,16,32,3.05 to 3.8 GHz,3.05,3050,3.8,3800,GHz,Socket SP3,7 nm,7 ,240,"Mar 22nd, 2022"
EPYC 7371,Naples,16,32,3.1 to 3.8 GHz,3.1,3100,3.8,3800,GHz,Socket SP3,14 nm,14 ,170,"Nov 16th, 2018"
EPYC 7352,Rome,24,48,2.4 to 3.3 GHz,2.4,2400,3.3,3300,GHz,Socket SP3,7 nm,7 ,155,"Aug 7th, 2019"
EPYC 7351P,Naples,16,32,2.4 to 2.9 GHz,2.4,2400,2.9,2900,GHz,Socket SP3,14 nm,14 ,170,"Jun 29th, 2017"
EPYC 7351,Naples,16,32,2.4 to 2.9 GHz,2.4,2400,2.9,2900,GHz,Socket SP3,14 nm,14 ,170,"Jun 29th, 2017"
EPYC 7343,Milan,16,32,3.2 to 3.9 GHz,3.2,3200,3.9,3900,GHz,Socket SP3,7 nm,7 ,190,"Mar 15th, 2021"
EPYC 7313P,Milan,16,32,3 to 3.7 GHz,3,3000,3.7,3700,GHz,Socket SP3,7 nm,7 ,155,"Mar 15th, 2021"
EPYC 7313,Milan,16,32,3 to 3.7 GHz,3,3000,3.7,3700,GHz,Socket SP3,7 nm,7 ,155,"Mar 15th, 2021"
EPYC 7302P,Rome,16,32,3 to 3.3 GHz,3,3000,3.3,3300,GHz,Socket SP3,7 nm,7 ,155,"Aug 7th, 2019"
EPYC 7302,Rome,16,32,3 to 3.3 GHz,3,3000,3.3,3300,GHz,Socket SP3,7 nm,7 ,155,"Aug 7th, 2019"
EPYC 7301,Naples,16,32,2.2 to 2.7 GHz,2.2,2200,2.7,2700,GHz,Socket SP3,14 nm,14 ,170,"Jun 29th, 2017"
EPYC 72F3,Milan,8,16,3.7 to 4.1 GHz,3.7,3700,4.1,4100,GHz,Socket SP3,7 nm,7 ,180,"Mar 15th, 2021"
EPYC 7282,Rome,16,32,2.8 to 3.2 GHz,2.8,2800,3.2,3200,GHz,Socket SP3,7 nm,7 ,120,"Aug 7th, 2019"
EPYC 7281,Naples,16,32,2.1 to 2.7 GHz,2.1,2100,2.7,2700,GHz,Socket SP3,14 nm,14 ,170,"Jun 29th, 2017"
EPYC 7272,Rome,12,24,2.6 to 3.2 GHz,2.6,2600,3.2,3200,GHz,Socket SP3,7 nm,7 ,120,"Aug 7th, 2019"
E2-3800,Kabini,4,4,1300 MHz,1300,1300,1300,1300,MHz,Socket FT3,28 nm,28 ,15,"May 23rd, 2013"
E2-3200,Llano,2,2,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket FM1,32 nm,32 ,65,"Sep 7th, 2011"
E2-3000M,Llano,2,2,1.8 to 2.4 GHz,1.8,1800,2.4,2400,GHz,Socket FS1,32 nm,32 ,35,"Dec 20th, 2011"
E2-3000,Kabini,2,2,1650 MHz,1650,1650,1650,1650,MHz,Socket FT3,28 nm,28 ,15,"May 23rd, 2013"
E2-2000,Zacate,2,2,1750 MHz,1750,1750,1750,1750,MHz,Socket FT1,40 nm,40 ,18,"Jan 6th, 2013"
E2-1800,Zacate,2,2,1700 MHz,1700,1700,1700,1700,MHz,Socket FT1,40 nm,40 ,18,"Jun 6th, 2012"
E1-2500,Kabini,2,2,1400 MHz,1400,1400,1400,1400,MHz,Socket FT3,28 nm,28 ,15,"May 23rd, 2013"
E1-2100,Kabini,2,2,1000 MHz,1000,1000,1000,1000,MHz,Socket FT3,28 nm,28 ,9,"May 23rd, 2013"
E1-1500,Zacate,2,2,1480 MHz,1480,1480,1480,1480,MHz,Socket FT1,40 nm,40 ,18,"Jan 6th, 2013"
E1-1200,Zacate,2,2,1400 MHz,1400,1400,1400,1400,MHz,Socket FT1,40 nm,40 ,18,"Jun 6th, 2012"
E-450,Zacate,2,2,1650 MHz,1650,1650,1650,1650,MHz,Socket FT1,40 nm,40 ,18,"Aug 22nd, 2011"
E-350,Zacate,2,2,1600 MHz,1600,1600,1600,1600,MHz,Socket FT1,40 nm,40 ,18,"Jan 4th, 2011"
E-300,Zacate,2,2,1300 MHz,1300,1300,1300,1300,MHz,Socket FT1,40 nm,40 ,18,"Aug 22nd, 2011"
E-240,Zacate,1,1,1500 MHz,1500,1500,1500,1500,MHz,Socket FT1,40 nm,40 ,18,"Jan 4th, 2011"
Core Solo ULV U1500,Yonah,1,1,1333 MHz,1333,1333,1333,1333,MHz,Socket 479,65 nm,65 ,5,"Apr 19th, 2006"
Core Solo ULV U1400,Yonah,1,1,1200 MHz,1200,1200,1200,1200,MHz,Socket 479,65 nm,65 ,5,"Apr 19th, 2006"
Core Solo ULV U1300,Yonah,1,1,1066 MHz,1066,1066,1066,1066,MHz,Socket 479,65 nm,65 ,5,"Apr 19th, 2006"
Core Solo T1400,Yonah,1,1,1833 MHz,1833,1833,1833,1833,MHz,Socket 479,65 nm,65 ,27,"Jan 5th, 2006"
Core Solo T1350,Yonah,1,1,1866 MHz,1866,1866,1866,1866,MHz,Socket 479,65 nm,65 ,27,"Jan 5th, 2006"
Core Solo T1300,Yonah,1,1,1660 MHz,1660,1660,1660,1660,MHz,Socket 479,65 nm,65 ,27,"Jan 5th, 2006"
Core Solo T1200,Yonah,1,1,1500 MHz,1500,1500,1500,1500,MHz,Socket 479,65 nm,65 ,27,"Jan 5th, 2006"
Core i9-9990XE,Skylake-X,14,28,4 to 5.1 GHz,4,4000,5.1,5100,GHz,Socket 2066,14 nm,14 ,255,"Oct 19th, 2018"
Core i9-9980XE,Skylake-X,18,36,3 to 4.5 GHz,3,3000,4.5,4500,GHz,Socket 2066,14 nm,14 ,165,"Oct 19th, 2018"
Core i9-9960X,Skylake-X,16,32,3.1 to 4.5 GHz,3.1,3100,4.5,4500,GHz,Socket 2066,14 nm,14 ,165,"Oct 19th, 2018"
Core i9-9940X,Skylake-X,14,28,3.3 to 4.5 GHz,3.3,3300,4.5,4500,GHz,Socket 2066,14 nm,14 ,165,"Oct 19th, 2018"
Core i9-9920X,Skylake-X,12,24,3.5 to 4.5 GHz,3.5,3500,4.5,4500,GHz,Socket 2066,14 nm,14 ,165,"Oct 19th, 2018"
Core i9-9900X,Skylake-X,10,20,3.5 to 4.5 GHz,3.5,3500,4.5,4500,GHz,Socket 2066,14 nm,14 ,165,"Oct 19th, 2018"
Core i9-9820X,Skylake-X,10,20,3.3 to 4.2 GHz,3.3,3300,4.2,4200,GHz,Socket 2066,14 nm,14 ,165,"Oct 19th, 2018"
Core i9-7980XE,Skylake-X,18,36,2.6 to 4.4 GHz,2.6,2600,4.4,4400,GHz,Socket 2066,14 nm,14 ,165,"Sep 1st, 2017"
Core i9-7960X,Skylake-X,16,32,2.8 to 4.4 GHz,2.8,2800,4.4,4400,GHz,Socket 2066,14 nm,14 ,165,"Sep 1st, 2017"
Core i9-7940X,Skylake-X,14,28,3.1 to 4.4 GHz,3.1,3100,4.4,4400,GHz,Socket 2066,14 nm,14 ,165,"Sep 1st, 2017"
Core i9-7920X,Skylake-X,12,24,2.9 to 4.4 GHz,2.9,2900,4.4,4400,GHz,Socket 2066,14 nm,14 ,140,"Sep 10th, 2017"
Core i9-7900X,Skylake-X,10,20,3.3 to 4.5 GHz,3.3,3300,4.5,4500,GHz,Socket 2066,14 nm,14 ,140,"Jun 26th, 2017"
Core i9-13980HX,Raptor Lake-HX,24,32,2.2 to 5.6 GHz,2.2,2200,5.6,5600,GHz,BGA 1964,10 nm,10 ,55,"Jan 4th, 2023"
Core i9-13950HX,Raptor Lake-HX,24,32,2.2 to 5.5 GHz,2.2,2200,5.5,5500,GHz,BGA 1964,10 nm,10 ,55,"Jan 4th, 2023"
Core i9-13900T,Raptor Lake-S,24,32,1.1 to 5.3 GHz,1.1,1100,5.3,5300,GHz,Socket 1700,10 nm,10 ,35,"Jan 4th, 2023"
Core i9-13900KS,Raptor Lake-S,24,32,3.2 to 6 GHz,3.2,3200,6,6000,GHz,Socket 1700,10 nm,10 ,150,2023
Core i9-13900KF,Raptor Lake-S,24,32,3 to 5.8 GHz,3,3000,5.8,5800,GHz,Socket 1700,10 nm,10 ,125,"Sep 27th, 2022"
Core i9-13900K,Raptor Lake-S,24,32,3 to 5.8 GHz,3,3000,5.8,5800,GHz,Socket 1700,10 nm,10 ,125,"Sep 27th, 2022"
Core i9-13900HX,Raptor Lake-HX,24,32,2.2 to 5.4 GHz,2.2,2200,5.4,5400,GHz,BGA 1964,10 nm,10 ,55,"Jan 4th, 2023"
Core i9-13900HK,Raptor Lake-H,14,20,2.6 to 5.4 GHz,2.6,2600,5.4,5400,GHz,BGA 1744,10 nm,10 ,45,"Jan 4th, 2023"
Core i9-13900H,Raptor Lake-H,14,20,2.6 to 5.4 GHz,2.6,2600,5.4,5400,GHz,BGA 1744,10 nm,10 ,45,"Jan 4th, 2023"
Core i9-13900F,Raptor Lake-S,24,32,2 to 5.6 GHz,2,2000,5.6,5600,GHz,Socket 1700,10 nm,10 ,65,"Jan 4th, 2023"
Core i9-13900,Raptor Lake-S,24,32,2 to 5.6 GHz,2,2000,5.6,5600,GHz,Socket 1700,10 nm,10 ,65,"Jan 4th, 2023"
Core i9-12950HX,Alder Lake-HX,16,24,2.3 to 5 GHz,2.3,2300,5,5000,GHz,BGA 1964,10 nm,10 ,55,"May 10th, 2022"
Core i9-12900TE,Alder Lake-S,16,24,1.1 to 4.8 GHz,1.1,1100,4.8,4800,GHz,Socket 1700,10 nm,10 ,35,"Jan 4th, 2022"
Core i9-12900T,Alder Lake-S,16,24,1.4 to 4.9 GHz,1.4,1400,4.9,4900,GHz,Socket 1700,10 nm,10 ,35,"Jan 4th, 2022"
Core i9-12900KS,Alder Lake-S,16,24,3.4 to 5.5 GHz,3.4,3400,5.5,5500,GHz,Socket 1700,10 nm,10 ,150,"Apr 5th, 2022"
Core i9-12900KF,Alder Lake-S,16,24,3.2 to 5.2 GHz,3.2,3200,5.2,5200,GHz,Socket 1700,10 nm,10 ,125,"Nov 4th, 2021"
Core i9-12900K,Alder Lake-S,16,24,3.2 to 5.2 GHz,3.2,3200,5.2,5200,GHz,Socket 1700,10 nm,10 ,125,"Nov 4th, 2021"
Core i9-12900HX,Alder Lake-HX,16,24,2.3 to 5 GHz,2.3,2300,5,5000,GHz,BGA 1964,10 nm,10 ,55,"May 10th, 2022"
Core i9-12900HK,Alder Lake-H,14,20,2.5 to 5 GHz,2.5,2500,5,5000,GHz,BGA 1744,10 nm,10 ,45,"Jan 4th, 2022"
Core i9-12900H,Alder Lake-H,14,20,2.5 to 5 GHz,2.5,2500,5,5000,GHz,BGA 1744,10 nm,10 ,45,"Jan 4th, 2022"
Core i9-12900F,Alder Lake-S,16,24,2.4 to 5.1 GHz,2.4,2400,5.1,5100,GHz,Socket 1700,10 nm,10 ,65,"Jan 4th, 2022"
Core i9-12900E,Alder Lake-S,16,24,2.3 to 5 GHz,2.3,2300,5,5000,GHz,Socket 1700,10 nm,10 ,65,"Jan 4th, 2022"
Core i9-12900,Alder Lake-S,16,24,2.4 to 5.1 GHz,2.4,2400,5.1,5100,GHz,Socket 1700,10 nm,10 ,65,"Jan 4th, 2022"
Core i9-11980HK,Tiger Lake-H,8,16,2.6 to 5 GHz,2.6,2600,5,5000,GHz,BGA 1787,10 nm,10 ,45,"May 11th, 2021"
Core i9-11950H,Tiger Lake-H,8,16,2.1 to 5 GHz,2.1,2100,5,5000,GHz,BGA 1787,10 nm,10 ,35,"May 11th, 2021"
Core i9-11900T,Rocket Lake,8,16,1.5 to 4.9 GHz,1.5,1500,4.9,4900,GHz,Socket 1200,14 nm,14 ,35,"Mar 16th, 2021"
Core i9-11900KF,Rocket Lake,8,16,3.5 to 5.3 GHz,3.5,3500,5.3,5300,GHz,Socket 1200,14 nm,14 ,125,"Mar 16th, 2021"
Core i9-11900KB,Tiger Lake-H,8,16,3.3 to 5.3 GHz,3.3,3300,5.3,5300,GHz,BGA 1787,10 nm,10 ,65,May 2021
Core i9-11900K,Rocket Lake,8,16,3.5 to 5.3 GHz,3.5,3500,5.3,5300,GHz,Socket 1200,14 nm,14 ,125,"Mar 16th, 2021"
Core i9-11900H,Tiger Lake-H,8,16,2.1 to 4.9 GHz,2.1,2100,4.9,4900,GHz,BGA 1787,10 nm,10 ,35,"May 11th, 2021"
Core i9-11900F,Rocket Lake,8,16,2.5 to 5.2 GHz,2.5,2500,5.2,5200,GHz,Socket 1200,14 nm,14 ,65,"Mar 16th, 2021"
Core i9-11900,Rocket Lake,8,16,2.5 to 5.2 GHz,2.5,2500,5.2,5200,GHz,Socket 1200,14 nm,14 ,65,"Mar 16th, 2021"
Core i9-10990XE,Cascade Lake-X,22,44,4 to 5 GHz,4,4000,5,5000,GHz,Socket 2066,14 nm,14 ,380,Never Released
Core i9-10980XE,Cascade Lake-X,18,36,3 to 4.8 GHz,3,3000,4.8,4800,GHz,Socket 2066,14 nm,14 ,165,"Oct 19th, 2019"
Core i9-10940X,Cascade Lake-X,14,28,3.3 to 4.8 GHz,3.3,3300,4.8,4800,GHz,Socket 2066,14 nm,14 ,165,"Oct 19th, 2019"
Core i9-10920X,Cascade Lake-X,12,24,3.5 to 4.8 GHz,3.5,3500,4.8,4800,GHz,Socket 2066,14 nm,14 ,165,"Oct 19th, 2019"
Core i9-10900X,Cascade Lake-X,10,20,3.7 to 4.7 GHz,3.7,3700,4.7,4700,GHz,Socket 2066,14 nm,14 ,165,"Oct 19th, 2019"
Core i9-10900KF,Comet Lake,10,20,3.7 to 5.3 GHz,3.7,3700,5.3,5300,GHz,Socket 1200,14 nm,14 ,125,"Apr 30th, 2020"
Core i9-10900K,Comet Lake,10,20,3.7 to 5.3 GHz,3.7,3700,5.3,5300,GHz,Socket 1200,14 nm,14 ,125,"Apr 30th, 2020"
Core i9-10900F,Comet Lake,10,20,2.8 to 5.2 GHz,2.8,2800,5.2,5200,GHz,Socket 1200,14 nm,14 ,65,"Apr 30th, 2020"
Core i9-10900,Comet Lake,10,20,2.8 to 5.2 GHz,2.8,2800,5.2,5200,GHz,Socket 1200,14 nm,14 ,65,"Apr 30th, 2020"
Core i9-10850K,Comet Lake,10,20,3.6 to 5.2 GHz,3.6,3600,5.2,5200,GHz,Socket 1200,14 nm,14 ,125,"Jul 27th, 2020"
Core i9-10800F,Comet Lake,10,20,2.7 to 5 GHz,2.7,2700,5,5000,GHz,Socket 1200,14 nm,14 ,65,"Apr 30th, 2020"
Core i7-990X,Gulftown,6,12,3.466 to 3.733 GHz,3.466,3466,3.733,3733,GHz,Socket 1366,32 nm,32 ,130,"Feb 24th, 2011"
Core i7-980X,Gulftown,6,12,3.333 to 3.6 GHz,3.333,3333,3.6,3600,GHz,Socket 1366,32 nm,32 ,130,"Mar 16th, 2010"
Core i7-980,Gulftown,6,12,3.333 to 3.6 GHz,3.333,3333,3.6,3600,GHz,Socket 1366,32 nm,32 ,130,"Jun 26th, 2011"
Core i7-970,Gulftown,6,12,3.2 to 3.466 GHz,3.2,3200,3.466,3466,GHz,Socket 1366,32 nm,32 ,130,"Jul 19th, 2010"
Core i7-965,Bloomfield,4,8,3.2 to 3.466 GHz,3.2,3200,3.466,3466,GHz,Socket 1366,45 nm,45 ,130,"Nov 17th, 2008"
Core i7-940,Bloomfield,4,8,2.933 to 3.2 GHz,2.933,2933,3.2,3200,GHz,Socket 1366,45 nm,45 ,130,"Nov 17th, 2008"
Core i7-930,Bloomfield,4,8,2.8 to 3.066 GHz,2.8,2800,3.066,3066,GHz,Socket 1366,45 nm,45 ,130,"Feb 28th, 2010"
Core i7-920,Bloomfield,4,8,2.666 to 2.933 GHz,2.666,2666,2.933,2933,GHz,Socket 1366,45 nm,45 ,130,"Nov 17th, 2008"
Core i7-880,Lynnfield,4,8,3.066 to 3.733 GHz,3.066,3066,3.733,3733,GHz,Socket 1156,45 nm,45 ,95,"May 30th, 2010"
Core i7-875K,Lynnfield,4,8,2.933 to 3.6 GHz,2.933,2933,3.6,3600,GHz,Socket 1156,45 nm,45 ,95,"May 30th, 2010"
Core i7-870S,Lynnfield,4,8,2.666 to 3.6 GHz,2.666,2666,3.6,3600,GHz,Socket 1156,45 nm,45 ,82,"Jul 19th, 2010"
Core i7-8700K,Coffee Lake,6,12,3.7 to 4.7 GHz,3.7,3700,4.7,4700,GHz,Socket 1151,14 nm,14 ,95,"Oct 5th, 2017"
Core i7-8650U,Kaby Lake-R,4,8,1.9 to 4.2 GHz,1.9,1900,4.2,4200,GHz,BGA 1356,14 nm,14 ,15,"Aug 21st, 2017"
Core i7-860S,Lynnfield,4,8,2.533 to 3.466 GHz,2.533,2533,3.466,3466,GHz,Socket 1156,45 nm,45 ,82,"Jan 7th, 2010"
Core i7-8550U,Kaby Lake-R,4,8,1.8 to 4 GHz,1.8,1800,4,4000,GHz,BGA 1356,14 nm,14 ,15,"Aug 21st, 2017"
Core i7-7800X,Skylake-X,6,12,3.5 to 4 GHz,3.5,3500,4,4000,GHz,Socket 2066,14 nm,14 ,140,"Jun 26th, 2017"
Core i7-7740X,Kaby Lake-X,4,8,4.3 to 4.6 GHz,4.3,4300,4.6,4600,GHz,Socket 2066,14 nm,14 ,112,"Jun 26th, 2017"
Core i7-7700T,Kaby Lake,4,8,2.9 to 3.8 GHz,2.9,2900,3.8,3800,GHz,Socket 1151,14 nm,14 ,35,"Jan 3rd, 2017"
Core i7-7700K,Kaby Lake,4,8,4.2 to 4.5 GHz,4.2,4200,4.5,4500,GHz,Socket 1151,14 nm,14 ,91,"Jan 3rd, 2017"
Core i7-7700,Kaby Lake,4,8,3.6 to 4.2 GHz,3.6,3600,4.2,4200,GHz,Socket 1151,14 nm,14 ,65,"Jan 3rd, 2017"
Core i7-6950X,Broadwell-E,10,20,3 to 3.5 GHz,3,3000,3.5,3500,GHz,Socket 2011-3,14 nm,14 ,140,"May 31st, 2016"
Core i7-6900K,Broadwell-E,8,16,3.2 to 3.7 GHz,3.2,3200,3.7,3700,GHz,Socket 2011-3,14 nm,14 ,140,"May 31st, 2016"
Core i7-6850K,Broadwell-E,6,12,3.6 to 3.8 GHz,3.6,3600,3.8,3800,GHz,Socket 2011-3,14 nm,14 ,140,"May 31st, 2016"
Core i7-6800K,Broadwell-E,6,12,3.4 to 3.6 GHz,3.4,3400,3.6,3600,GHz,Socket 2011-3,14 nm,14 ,140,"May 31st, 2016"
Core i7-640M,Arrandale,2,4,2.8 to 3.467 GHz,2.8,2800,3.467,3467,GHz,Socket G1,32 nm,32 ,35,"Sep 1st, 2010"
Core i7-640M,Arrandale,2,4,2.8 to 3.467 GHz,2.8,2800,3.467,3467,GHz,BGA 1288,32 nm,32 ,35,"Sep 1st, 2010"
Core i7-620M,Arrandale,2,4,2.677 to 3.333 GHz,2.677,2677,3.333,3333,GHz,BGA 1288,32 nm,32 ,35,"Jan 7th, 2010"
Core i7-620M,Arrandale,2,4,2.677 to 3.333 GHz,2.677,2677,3.333,3333,GHz,Socket G1,32 nm,32 ,35,"Jan 7th, 2010"
Core i7-4980HQ,Crystalwell,4,8,2.8 to 4 GHz,2.8,2800,4,4000,GHz,BGA 1364,22 nm,22 ,47,"Sep 1st, 2013"
Core i7-4960X,Ivy Bridge-E,6,12,3.6 to 4 GHz,3.6,3600,4,4000,GHz,Socket 2011,22 nm,22 ,130,"Sep 3rd, 2013"
Core i7-4960HQ,Crystalwell,4,8,2.6 to 3.8 GHz,2.6,2600,3.8,3800,GHz,BGA 1364,22 nm,22 ,47,"Sep 1st, 2013"
Core i7-4950HQ,Crystalwell,4,8,2.4 to 3.6 GHz,2.4,2400,3.6,3600,GHz,BGA 1364,22 nm,22 ,47,"Jun 7th, 2013"
Core i7-4930MX,Haswell,4,8,3 to 3.9 GHz,3,3000,3.9,3900,GHz,Socket G3,22 nm,22 ,57,"Apr 29th, 2013"
Core i7-4930K,Ivy Bridge-E,6,12,3.4 to 3.9 GHz,3.4,3400,3.9,3900,GHz,Socket 2011,22 nm,22 ,130,"Sep 1st, 2013"
Core i7-4900MQ,Haswell,4,8,2.8 to 3.8 GHz,2.8,2800,3.8,3800,GHz,Socket G3,22 nm,22 ,47,"Jun 2nd, 2013"
Core i7-4860EQ,Crystalwell,4,8,1.8 to 3.2 GHz,1.8,1800,3.2,3200,GHz,BGA 1364,22 nm,22 ,47,"Aug 29th, 2013"
Core i7-4850HQ,Crystalwell,4,8,2.3 to 3.5 GHz,2.3,2300,3.5,3500,GHz,BGA 1364,22 nm,22 ,47,"Apr 29th, 2013"
Core i7-4850EQ,Crystalwell,4,8,1.6 to 3.2 GHz,1.6,1600,3.2,3200,GHz,BGA 1364,22 nm,22 ,47,"Aug 29th, 2013"
Core i7-4820K,Ivy Bridge-E,4,8,3.7 to 3.9 GHz,3.7,3700,3.9,3900,GHz,Socket 2011,22 nm,22 ,130,"Sep 1st, 2013"
Core i7-4800MQ,Haswell,4,8,2.7 to 3.7 GHz,2.7,2700,3.7,3700,GHz,Socket G3,22 nm,22 ,47,"Apr 29th, 2013"
Core i7-4785T,Haswell,4,8,2.2 to 3.2 GHz,2.2,2200,3.2,3200,GHz,Socket 1150,22 nm,22 ,35,"Jun 2nd, 2013"
Core i7-4771,Haswell,4,8,3.5 to 3.9 GHz,3.5,3500,3.9,3900,GHz,Socket 1150,22 nm,22 ,84,"Sep 1st, 2013"
Core i7-4770TE,Haswell,4,8,2.3 to 3.3 GHz,2.3,2300,3.3,3300,GHz,Socket 1150,22 nm,22 ,45,"Jun 2nd, 2013"
Core i7-4770T,Haswell,4,8,2.5 to 3.7 GHz,2.5,2500,3.7,3700,GHz,Socket 1150,22 nm,22 ,45,"Jun 2nd, 2013"
Core i7-4770S,Haswell,4,8,3.1 to 3.9 GHz,3.1,3100,3.9,3900,GHz,Socket 1150,22 nm,22 ,65,"Jun 2nd, 2013"
