CPU,Codename,Min_Cores,Max_Cores,Clock,Min_Clock,Min_Clock(MHz),Max_Clock,Max_Clock(MHz),Size,Socket,Process,Process(NM),TDP(Watts),Release
Athlon 64 X2 5600+,Windsor,2,2,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket AM2,90 nm,90 ,89,"Dec 12th, 2006"
Athlon 64 X2 5600+,Brisbane,2,2,2.9 GHz,2.9,2900,2.9,2900,GHz,Socket AM2,65 nm,65 ,65,"Feb 1st, 2008"
Athlon 64 X2 5400+ BE,Brisbane,2,2,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket AM2,65 nm,65 ,65,"Feb 1st, 2008"
Athlon 64 X2 5400+,Windsor,2,2,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket AM2,90 nm,90 ,89,"Dec 12th, 2006"
Athlon 64 X2 5400+,Brisbane,2,2,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket AM2,65 nm,65 ,65,"Jan 1st, 2008"
Athlon 64 X2 5200+ EE,Windsor,2,2,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket AM2,90 nm,90 ,65,"Sep 6th, 2006"
Athlon 64 X2 5200+,Windsor,2,2,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket AM2,90 nm,90 ,89,"Sep 6th, 2006"
Athlon 64 X2 5000+ EE,Windsor,2,2,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket AM2,90 nm,90 ,65,"Sep 6th, 2006"
Athlon 64 X2 5000+,Windsor,2,2,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket AM2,90 nm,90 ,89,"May 23rd, 2006"
Athlon 64 X2 5000+,Brisbane,2,2,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket AM2,65 nm,65 ,65,"Dec 5th, 2006"
Athlon 64 X2 4800+ EE,Windsor,2,2,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket AM2,90 nm,90 ,65,"May 23rd, 2006"
Athlon 64 X2 4800+,Windsor,2,2,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket AM2,90 nm,90 ,89,"May 23rd, 2006"
Athlon 64 X2 4800+,Toledo,2,2,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket 939,90 nm,90 ,110,"May 23rd, 2006"
Athlon 64 X2 4800+,Brisbane,2,2,2.5 GHz,2.5,2500,2.5,2500,GHz,Socket AM2,65 nm,65 ,65,"Dec 5th, 2006"
Athlon 64 X2 4600+ EE,Windsor,2,2,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket AM2,90 nm,90 ,65,"May 23rd, 2006"
Athlon 64 X2 4600+,Windsor,2,2,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket AM2,90 nm,90 ,89,"May 23rd, 2006"
Athlon 64 X2 4600+,Manchester,2,2,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket 939,90 nm,90 ,110,"May 23rd, 2006"
Athlon 64 X2 4600+,Toledo,2,2,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket 939,90 nm,90 ,89,"May 23rd, 2006"
Athlon 64 X2 4600+,Brisbane,2,2,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket AM2,65 nm,65 ,65,"Apr 22nd, 2008"
Athlon 64 X2 4400+ EE,Windsor,2,2,2.2 GHz,2.2,2200,2.2,2200,GHz,Socket AM2,90 nm,90 ,65,"May 23rd, 2006"
Athlon 64 X2 4400+,Toledo,2,2,2.2 GHz,2.2,2200,2.2,2200,GHz,Socket 939,90 nm,90 ,110,"May 23rd, 2006"
Athlon 64 X2 4400+,Windsor,2,2,2.2 GHz,2.2,2200,2.2,2200,GHz,Socket AM2,90 nm,90 ,89,"May 23rd, 2006"
Athlon 64 X2 4400+,Brisbane,2,2,2.3 GHz,2.3,2300,2.3,2300,GHz,Socket AM2,65 nm,65 ,65,"Dec 5th, 2006"
Athlon 64 X2 4200+ EE,Windsor,2,2,2.2 GHz,2.2,2200,2.2,2200,GHz,Socket AM2,90 nm,90 ,65,"May 23rd, 2006"
Athlon 64 X2 4200+,Brisbane,2,2,2.2 GHz,2.2,2200,2.2,2200,GHz,Socket AM2,65 nm,65 ,65,"Dec 1st, 2006"
Athlon 64 X2 4200+,Toledo,2,2,2.2 GHz,2.2,2200,2.2,2200,GHz,Socket 939,90 nm,90 ,89,"May 23rd, 2006"
Athlon 64 X2 4200+,Windsor,2,2,2.2 GHz,2.2,2200,2.2,2200,GHz,Socket AM2,90 nm,90 ,89,"May 23rd, 2006"
Athlon 64 X2 4200+,Manchester,2,2,2.2 GHz,2.2,2200,2.2,2200,GHz,Socket 939,90 nm,90 ,89,"May 23rd, 2006"
Athlon 64 X2 4000+ EE,Windsor,2,2,2000 MHz,2000,2000,2000,2000,MHz,Socket AM2,90 nm,90 ,65,"May 23rd, 2006"
Athlon 64 X2 4000+,Brisbane,2,2,2.1 GHz,2.1,2100,2.1,2100,GHz,Socket AM2,65 nm,65 ,65,"Dec 5th, 2006"
Athlon 64 X2 4000+,Windsor,2,2,2000 MHz,2000,2000,2000,2000,MHz,Socket AM2,90 nm,90 ,89,"May 23rd, 2006"
Athlon 64 X2 3800+ EE SFF,Windsor,2,2,2000 MHz,2000,2000,2000,2000,MHz,Socket AM2,90 nm,90 ,35,"May 23rd, 2006"
Athlon 64 X2 3800+ EE,Windsor,2,2,2000 MHz,2000,2000,2000,2000,MHz,Socket AM2,90 nm,90 ,65,"May 23rd, 2006"
